Organism	BGC_type	Biosynthetic	Regulatory	Biosynthetic-additional	Transport	Other	Complete	Incomplete
Lyngbya majuscula - hectochlorin	T1PKS	3	0	5	0	1	3	3
Lyngbya majuscula - jamaicamide	NRPS	9	0	7	0	2	8	1
